survey,target,target_description,target_question,target_section,country,pool_size,majority_baseline,flags,feat_rank,feat_variable,feat_description,feat_question,feat_section,feat_importance_mean,feat_importance_std
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,1.0,Q42D,Respect received from government officials when obtaining documents,"When dealing with government officials to obtain documents, how much do you feel they treated you with respect?",institutional_trust,0.01841,0.00917
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,2.0,Q42C,Bribery to obtain an identity document,"How often, if ever, did you have to pay a bribe, give a gift, or do a favor for a government official to get the document you needed?",institutional_trust,0.01255,0.00592
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,3.0,Q46B,Government performance on improving living standards of the poor,How well or badly would you say the current government is improving the living standards of the poor?,institutional_trust,0.00837,0.00662
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,4.0,Q95,Religion of respondent,"What is your religion, if any?",demographics,0.00586,0.00229
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,5.0,Q42B,Difficulty obtaining an identity document,How easy or difficult was it to obtain the document you needed?,institutional_trust,0.00502,0.0035
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,6.0,Q94,Education of respondent,What is your highest level of education?,demographics,0.00418,0.00296
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,7.0,Q6B,How often gone without water,"Over the past year, how often, if ever, have you or anyone in your family gone without enough clean water for home use?",wellbeing,0.00418,0.00296
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,8.0,Q93B,Occupation of respondent,"What is your main occupation? If unemployed, retired, or disabled, what was your last main occupation?",demographics,0.00418,0.0
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,9.0,Q53C,Likelihood of criticism or harassment for a woman reporting gender-based violence,"If a woman in your community reports being a victim of gender-based violence, how likely is it that she will be criticized, harassed, or shamed by others in the community?",institutional_trust,0.00418,0.0
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Angola,235.0,0.8358,SKEWED,10.0,Q39B,Safety of reporting corruption,"In this country, can ordinary people report incidents of corruption without fear, or do they risk retaliation or other negative consequences if they speak out?",institutional_trust,0.00418,0.0
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,1.0,Q38K,Perceived corruption among non-governmental organizations,How many people in non-governmental organizations do you think are involved in corruption?,institutional_trust,0.00417,0.0
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,2.0,Q32A,Level of democracy compared to five years ago,"Do you think that this country is more democratic, less democratic, or about the same than it was five years ago?",political_attitudes,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,3.0,Q37J,Trust in traditional leaders,How much do you trust traditional leaders?,institutional_trust,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,4.0,Q46C,Government performance on creating jobs,How well or badly would you say the current government is handling creating jobs?,institutional_trust,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,5.0,Q87C,Neighbours: homosexuals,Would you like having homosexuals as neighbours?,social_attitudes,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,6.0,Q87E,Neighbours: people who support a different political party,"Would you like having people who support a different political party as your neighbours, dislike it, or not care?",social_attitudes,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,7.0,Q35A,Access to information: school budget,How likely is it that you could get the following information: if you contacted the local school to find out what the school's budget is and how the funds have been used?,institutional_trust,0.0025,0.00228
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,8.0,Q25,Political parties divisive vs many parties needed,Which of the following statements is closest to your view? Statement 1: Political parties create division and confusion; it is therefore unnecessary to have many political parties in Kenya. Statement 2: Many political parties are needed to make sure that Kenyans have real choices in who governs them?,political_attitudes,0.00167,0.00228
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,9.0,Q44E,Police involvement in criminal activities,"In your opinion, how often do the police engage in criminal activities?",institutional_trust,0.00167,0.00228
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Gabon,240.0,0.9142,SKEWED WEAK_SIGNAL,10.0,Q51A,Opinion on whether the government should do more or less for women's rights and equality,"Should the government and elected officials do more, less, or about the same as they are doing now to advance the rights and equality of women?",social_attitudes,0.00167,0.00228
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,1.0,Q11D,Contact political party official,"During the past year, how often have you contacted a political party official about an important problem or to give your views?",political_participation,0.00417,0.0
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,2.0,Q72E,Government action on pollution,Should the government do more or less to limit pollution and protect the environment?,contemporary_issues,0.00417,0.0
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,3.0,Q40B,Difficulty obtaining public school services,How easy or difficult was it to obtain the services you needed from teachers or school officials?,institutional_trust,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,4.0,Q36B,Likelihood of response: reporting teacher misconduct,"If you went to the local school to report teacher misbehavior such as absenteeism or mistreatment of students, how likely is it that you could get someone to take action?",institutional_trust,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,5.0,Q50A,Likelihood of increased community standing for a woman who runs for office,"If a woman in your community runs for elected office, how likely is it that she and her family will gain standing in the community?",social_attitudes,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,6.0,Q76A,Opinion on making local government budgets public,Should budgets and expenditures for the local government council be made public?,political_attitudes,0.00333,0.00186
afrobarometer,Q43A,Request for police assistance,"In the past 12 months, have you requested assistance from the police?",institutional_trust,Mali,240.0,0.8825,SKEWED WEAK_SIGNAL,7.0,Q46D,Government performance on keeping prices stable,How well or badly would you say the current government is handling keeping prices stable?,institutional_trust,0.00333,0.00186
